Time,Marker,Group,lumbar_flexion_fwd_deg,lt_lumbar_flexion_lat_deg,lt_lumbar_axial_deg,rt_lumbar_flexion_lat_deg,rt_lumbar_axial_deg,thoracic_flexion_fwd_deg,lt_thoracic_flexion_lat_deg,lt_thoracic_axial_deg,rt_thoracic_flexion_lat_deg,rt_thoracic_axial_deg,lt_hip_flexion_deg,lt_hip_abduction_deg,lt_hip_rotation_ext_deg,lt_knee_abduction_deg,lt_knee_rotation_ext_deg,lt_knee_flexion_deg,lt_ankle_dorsiflexion_deg,lt_ankle_abduction_deg,lt_ankle_inversion_deg,rt_hip_flexion_deg,rt_hip_abduction_deg,rt_hip_rotation_ext_deg,rt_knee_abduction_deg,rt_knee_rotation_ext_deg,rt_knee_flexion_deg,rt_ankle_dorsiflexion_deg,rt_ankle_abduction_deg,rt_ankle_inversion_deg
0.25,,Control,8.102465342,-1.058594453,-2.450786645,1.058594453,2.450786645,-2.008637195,-0.0545325602,-0.6767434663,0.0545325602,0.6767434663,2.82413847,-0.6351727021,3.227576297,3.381271659,-5.86451986,11.28443782,8.13680702,-0.9502313102,5.722520911,0.1414477228,4.507435086,3.996626492,-0.3128877627,-4.460647035,4.293217599,5.429806839,7.936044475,1.721238004
0.255,,Control,8.085567822,-1.086514212,-2.461309176,1.086514212,2.461309176,-2.008051416,-0.08689368767,-0.6842492219,0.08689368767,0.6842492219,2.790115718,-0.6102827176,3.105987933,3.395339348,-5.911123457,11.19841122,8.017706848,-0.8295476242,5.547614748,0.09982472043,4.448879711,3.949075609,-0.3124971079,-4.373049044,4.277277122,5.387607047,7.912071326,1.744804104
0.26,,Control,8.072917923,-1.111854921,-2.469760673,1.111854921,2.469760673,-2.006666869,-0.1205510899,-0.6890521841,0.1205510899,0.6890521841,2.761575284,-0.5796162159,2.971444961,3.401365964,-5.938729912,11.1240445,7.903938873,-0.7063544365,5.387736893,0.05647450233,4.388385871,3.90038405,-0.3094555817,-4.28384625,4.260778409,5.344130842,7.885888407,1.76846493
0.265,,Control,8.064283547,-1.134219959,-2.475596652,1.134219959,2.475596652,-2.004350262,-0.1554877914,-0.6913160478,0.1554877914,0.6913160478,2.737422351,-0.5433586148,2.827613665,3.398605613,-5.946856507,11.06126879,7.797362652,-0.5850489417,5.241500351,0.0117317265,4.326198701,3.850421939,-0.303799977,-4.193877275,4.243652204,5.299819444,7.85788173,1.792273426
0.27,,Control,8.05927899,-1.153320721,-2.478347107,1.153320721,2.478347107,-2.000839782,-0.1915512346,-0.6910743717,0.1915512346,0.6910743717,2.716011588,-0.5019806133,2.678632157,3.386998355,-5.936560907,11.008843,7.699023029,-0.4689790975,5.10736461,-0.03394032835,4.262608915,3.799030722,-0.2956272868,-4.104095796,4.225942116,5.255193136,7.828527704,1.816302192
0.275,,Control,8.057448378,-1.168976529,-2.477607505,1.168976529,2.477607505,-1.995817176,-0.2284555322,-0.6882068359,0.2284555322,0.6882068359,2.695265066,-0.4562167086,2.528815256,3.367123721,-5.91022186,10.96454766,7.609422951,-0.3602835628,4.983920773,-0.07997644293,4.197945166,3.74603847,-0.2850741047,-4.015569159,4.207805952,5.210824126,7.798368284,1.840641584
0.28,,Control,8.0583241,-1.18110771,-2.473027183,1.18110771,2.473027183,-1.988968384,-0.2657934134,-0.6824303317,0.2657934134,0.6824303317,2.672899555,-0.4070105084,2.382316972,3.340060968,-5.871086556,10.9255692,7.528722109,-0.2599324503,4.869868821,-0.125736521,4.132561374,3.691267456,-0.2722963392,-3.929443332,4.189510741,5.167291023,7.767973182,1.865395399
0.285,,Control,8.061449351,-1.189720498,-2.464300165,1.189720498,2.464300165,-1.980016929,-0.3030646887,-0.673317092,0.3030646887,0.673317092,2.646723828,-0.3554419912,2.242806338,3.307202557,-5.822716911,10.88897143,7.456804352,-0.1679974853,4.763837587,-0.1705419859,4.066817272,3.634533155,-0.2574452377,-3.846874123,4.171404221,5.125117465,7.737893083,1.890676083
0.29,,Control,8.066378189,-1.194887721,-2.451163083,1.194887721,2.451163083,-1.968734371,-0.3397059672,-0.6603264982,0.3397059672,0.6603264982,2.61492972,-0.3026519425,2.113180836,3.270064738,-5.768471483,10.85212781,7.393411544,-0.08389896142,4.66438335,-0.2137094824,4.001072347,3.575658706,-0.2406629373,-3.768952569,4.153882998,5.084712424,7.708597129,1.916594063
0.295,,Control,8.072677672,-1.196722832,-2.433397003,1.196722832,2.433397003,-1.954945763,-0.3751306076,-0.6428498849,0.3751306076,0.6428498849,2.576306904,-0.2497826705,1.995351991,3.230136527,-5.711122233,10.81303156,7.338229276,-0.006593634165,4.570060944,-0.2545872953,3.935676621,3.514461397,-0.2220773662,-3.69658512,4.137363491,5.046332069,7.680395975,1.943246105
